title	scholar_bibliographic_line	seen_on
Asymptotic efficiency of two-stage disjunctive testing	T Berger, VI Levenshtein - IEEE Transactions on Information …, 2002 - ieeexplore.ieee.org	Aigner 1988 p3
[HTML][HTML] Identification of a monotone boolean function with k “reasons” as a combinatorial search problem	D Gerbner, A Imolay, GOH Katona, DT Nagy… - Discrete Applied …, 2026 - Elsevier	Aigner 1988 p4
Optimal binary search trees	SV Nagaraj - Theoretical Computer Science, 1997 - Elsevier	Aigner 1988 p4
Generalized framework for selectors with applications in optimal group testing	A De Bonis, L Gąsieniec, U Vaccaro - International Colloquium on …, 2003 - Springer	Aigner 1988 p4
On the tree search problem with non-uniform costs	F Cicalese, B Keszegh, B Lidický, D Pálvölgyi… - Theoretical Computer …, 2016 - Elsevier	Aigner 1988 p4
Searching with lies	M Aigner - journal of combinatorial theory, Series A, 1996 - Elsevier	Aigner 1988 p4
Learning partitions with optimal query and round complexities	H Black, A Mazumdar, B Saha - arXiv preprint arXiv:2505.05009, 2025 - arxiv.org	Aigner 1988 p4
Old and new results on alphabetic codes	R Bruno, R De Prisco, U Vaccaro - … Related Fields: Festschrift in Memory of …, 2025 - Springer	Aigner 1988 p4
An empirical analysis of terminological representation systems	J Heinsohn, D Kudenko, B Nebel, HJ Profitlich - Artificial Intelligence, 1994 - Elsevier	Aigner 1988 p4
Enclosing k points in the smallest axis parallel rectangle	M Segal, K Kedem - Information Processing Letters, 1998 - Elsevier	Aigner 1988 p4
Optimally reconstructing weighted graphs using queries	H Mazzawi - Proceedings of the Twenty-First Annual ACM-SIAM …, 2010 - SIAM	Aigner 1988 p4
[HTML][HTML] Exact learning from an honest teacher that answers membership queries	NH Bshouty - Theoretical Computer Science, 2018 - Elsevier	Aigner 1988 p5
Solution of Ulam's searching game with three lies or an optimal adaptive strategy for binary three-error-correcting codes	C Deppe - Discrete Mathematics, 2000 - Elsevier	Aigner 1988 p5
[BOOK][B] Mathematical modeling and optimization: an essay for the design of computer-based modeling tools	T Hürlimann - 2013 - books.google.com	Aigner 1988 p5
On competitive group testing	DZ Du, H Park - SIAM Journal on Computing, 1994 - SIAM	Aigner 1988 p5
Coding with feedback and searching with lies	C Deppe - Entropy, Search, Complexity, 2007 - Springer	Aigner 1988 p5
Optimal Binary Variable-Length Codes with a Bounded Number of 1's Per Codeword: Design, Analysis, and Applications	R Bruno, R De Prisco, U Vaccaro - 2025 IEEE International …, 2025 - ieeexplore.ieee.org	Aigner 1988 p5
[HTML][HTML] Variants of the majority problem	M Aigner - Discrete Applied Mathematics, 2004 - Elsevier	Aigner 1988 p5
Improved algorithms for group testing with inhibitors	A De Bonis, U Vaccaro - Information Processing Letters, 1998 - Elsevier	Aigner 1988 p5
[BOOK][B] Gems of theoretical computer science	U Schöning, RJ Pruim - 2012 - books.google.com	Aigner 1988 p5
Modifications of competitive group testing	DZ Du, GL Xue, SZ Sun, SW Cheng - SIAM Journal on Computing, 1994 - SIAM	Aigner 1988 p6
Efficient computation of rank probabilities in posets	K De Loof - 2009 - biblio.ugent.be	Aigner 1988 p6
Optimal query bounds for reconstructing a Hamiltonian cycle in complete graphs	V Grebinski, G Kucherov - … of the Fifth Israeli Symposium on …, 1997 - ieeexplore.ieee.org	Aigner 1988 p6
Partial fraction decomposition in C (z) and simultaneous Newton iteration for factorization in C [z]	P Kirrinnis - journal of complexity, 1998 - Elsevier	Aigner 1988 p6
Disjoint spread systems and fault location	CJ Colbourn, B Fan, D Horsley - SIAM Journal on Discrete Mathematics, 2016 - SIAM	Aigner 1988 p6
Reconstructing weighted graphs with minimal query complexity	NH Bshouty, H Mazzawi - International Conference on Algorithmic …, 2009 - Springer	Aigner 1988 p6
Improved results for competitive group testing	J Schlaghoff, E Triesch - Combinatorics, Probability and Computing, 2005 - cambridge.org	Aigner 1988 p6
Learning a hidden graph	H Chang, HL Fu, CH Shih - Optimization Letters, 2014 - Springer	Aigner 1988 p6
Learning a Hidden Graph Using O(log n) Queries Per Edge	D Angluin, J Chen - International Conference on Computational Learning …, 2004 - Springer	Aigner 1988 p6
A group testing problem for hypergraphs of bounded rank	E Triesch - Discrete Applied Mathematics, 1996 - Elsevier	Aigner 1988 p6
On binary search trees	R De Prisco, A De Santis - Information Processing Letters, 1993 - Elsevier	Aigner 1988 p7
Active clustering for labeling training data	Q Lutz, E De Panafieu, M Stein… - Advances in Neural …, 2021 - proceedings.neurips.cc	Aigner 1988 p7
Nonadaptive and Trivial Two-Stage Group Testing with Error-Correcting de-Disjunct Inclusion Matrices	AG D'yachkov, AJ Macula, PA Vilenkin - Entropy, search, complexity, 2007 - Springer	Aigner 1988 p7
Searching for a subset of counterfeit coins: Randomization vs determinism and adaptiveness vs non‐adaptiveness	G De Marco, DR Kowalski - Random Structures & Algorithms, 2013 - Wiley Online Library	Aigner 1988 p7
Two new perspectives on multi-stage group testing	P Damaschke, AS Muhammad, E Triesch - Algorithmica, 2013 - Springer	Aigner 1988 p7
Toward a deterministic polynomial time algorithm with optimal additive query complexity	NH Bshouty, H Mazzawi - Theoretical Computer Science, 2012 - Elsevier	Aigner 1988 p7; Aigner 1988 p14
Exact learning from membership queries: Some techniques, results and new directions	NH Bshouty - International Conference on Algorithmic Learning …, 2013 - Springer	Aigner 1988 p7
Least adaptive optimal search with unreliable tests	F Cicalese, D Mundici, U Vaccaro - Theoretical Computer Science, 2002 - Elsevier	Aigner 1988 p7; Aigner 1988 p10
Economical graph discovery	N Alon, Y Emek, M Feldman… - Operations …, 2014 - pubsonline.informs.org	Aigner 1988 p7
[HTML][HTML] A bridge between the minimal doubly resolving set problem in (folded) hypercubes and the coin weighing problem	C Lu, Q Ye - Discrete Applied Mathematics, 2022 - Elsevier	Aigner 1988 p8
[PDF][PDF] Quantum algorithms and quantum entanglement	B Terhal - 1999 - eprints.illc.uva.nl	Aigner 1988 p8
Protocol completion incentive problems in cryptographic Vickrey auctions	PG Bradford, S Park, MH Rothkopf, H Park - Electronic Commerce …, 2008 - Springer	Aigner 1988 p8
Finding One Excellent Element in Case of One Lie: A. Gupta et al.	A Gupta, GOH Katona - Journal of Statistical Theory and Practice, 2026 - Springer	Aigner 1988 p8
[HTML][HTML] A group testing problem for graphs with several defective edges	P Johann - Discrete applied mathematics, 2002 - Elsevier	Aigner 1988 p8
Searching for counterfeit coins	M Aigner, A Li - Graphs and Combinatorics, 1997 - Springer	Aigner 1988 p8
Reconstruction of hidden graphs and threshold group testing	H Chang, HB Chen, HL Fu, CH Shi - Journal of combinatorial optimization, 2011 - Springer	Aigner 1988 p8
Rota-Metropolis cubic logic and Ulam-Rényi games	F Cicalese, D Mundici, U Vaccaro - … and computer science: a tribute to …, 2001 - Springer	Aigner 1988 p8
On the power of additive combinatorial search model	V Grebinski - International Computing and Combinatorics …, 1998 - Springer	Aigner 1988 p8
On the coin weighing problem with the presence of noise	NH Bshouty - International Workshop on Approximation Algorithms …, 2012 - Springer	Aigner 1988 p8
On the structure of graphs with a unique k‐factor	P Johann - Journal of Graph Theory, 2000 - Wiley Online Library	Aigner 1988 p9
[HTML][HTML] Rounds in a combinatorial search problem	D Gerbner, M Vizer - Discrete Applied Mathematics, 2020 - Elsevier	Aigner 1988 p9
The plurality problem with three colors and more	M Aigner, G De Marco, M Montangero - Theoretical Computer Science, 2005 - Elsevier	Aigner 1988 p9
Finding the maximum and minimum	M Aigner - Discrete Applied Mathematics, 1997 - Elsevier	Aigner 1988 p9
New lower bounds on the cost of binary search trees	R De Prisco, A De Santis - Theoretical computer science, 1996 - Elsevier	Aigner 1988 p9
Optimal detection of a counterfeit coin with multi-arms balances	A De Bonis, L Gargano, U Vaccaro - Discrete applied mathematics, 1995 - Elsevier	Aigner 1988 p9; Gargano 1992 p1
Towards power-sensitive communication on a multiple-access channel	G De Marco, DR Kowalski - 2010 IEEE 30th International …, 2010 - ieeexplore.ieee.org	Aigner 1988 p9
Group testing with unreliable tests	A De Bonis, L Gargano, U Vaccaro - Information sciences, 1997 - Elsevier	Aigner 1988 p9; Gargano 1992 p1
A predetermined algorithm for detecting a counterfeit coin with a multi-arms balance	A De Bonis - Discrete applied mathematics, 1998 - Elsevier	Aigner 1988 p9; Gargano 1992 p1
[HTML][HTML] On searching strategies, parallel questions, and delayed answers	F Cicalese, L Gargano, U Vaccaro - Discrete applied mathematics, 2004 - Elsevier	Aigner 1988 p10
