+1,64.0,2.0,6.0,7,,,,,,,,,,,,,,,128,32,0.015625,4.712450234,5.352450234
+0,63.0,2.0,6.0,6,,,,,,2,,,,,,,1,,126,31.5,0.01587301587,4.697154916,5.327154916
+1,63.0,3.0,6.0,7,,,,,,,,,,,,,,,189,21,0.03174603175,5.090955869,5.510955869
+1,62.0,3.0,6.0,7,,,,,,,,,,,,,,,186,20.66666667,0.03225806452,5.075415815,5.488749149
+1,61.0,3.0,6.0,7,,,,,,,,,,,,,,,183,20.33333333,0.03278688525,5.059623066,5.466289733
+1,60.0,3.0,6.0,7,,,,,,,,,,,,,,,180,20,0.03333333333,5.043569269,5.443569269
+1,59.0,3.0,6.0,7,,,,,,,,,,,,,,,177,19.66666667,0.03389830508,5.027245646,5.42057898
+0,58.0,3.0,6.0,6,,,,,,3,,,,,,,6,,174,19.33333333,0.03448275862,5.010642975,5.397309641
+1,58.0,4.0,6.0,7,,,,,,,,,,,,,,,232,14.5,0.05172413793,5.290049198,5.580049198
+1,57.0,4.0,6.0,7,,,,,,,,,,,,,,,228,14.25,0.05263157895,5.273157769,5.558157769
+1,56.0,4.0,6.0,7,,,,,,,,,,,,,,,224,14,0.05357142857,5.255967362,5.535967362
+1,55.0,4.0,6.0,7,,,,,,,,,,,,,,,220,13.75,0.05454545455,5.238467201,5.513467201
+0,54.0,4.0,6.0,6,,,,,,4,,,,,,,10,,216,13.5,0.05555555556,5.220645918,5.490645918
+1,54.0,5.0,6.0,7,,,,,,,,,,,,,,,270,10.8,0.07407407407,5.437370222,5.653370222
+1,53.0,5.0,6.0,7,,,,,,,,,,,,,,,265,10.6,0.07547169811,5.419215812,5.631215812
+1,52.0,5.0,6.0,7,,,,,,,,,,,,,,,260,10.4,0.07692307692,5.400715583,5.608715583
+1,51.0,5.0,6.0,7,,,,,,,,,,,,,,,255,10.2,0.07843137255,5.381856104,5.585856104
+0,50.0,5.0,6.0,6,,,,,,5,,,,,,,14,,250,10,0.08,5.362623146,5.562623146
+1,50.0,6.0,6.0,7,,,,,,,,,,,,,,,300,8.333333333,0.1,5.539699795,5.706366462
+1,49.0,6.0,6.0,7,,,,,,,,,,,,,,,294,8.166666667,0.1020408163,5.520078266,5.6834116
+1,48.0,6.0,6.0,7,,,,,,,,,,,,,,,288,8,0.1041666667,5.500052141,5.660052141
+1,47.0,6.0,6.0,7,,,,,,,,,,,,,,,282,7.833333333,0.1063829787,5.479604383,5.636271049
