,,,,
+1,90.0,9.0,7.0,=D181+A181
+1,89.0,9.0,7.0,=D182+A182
+1,88.0,9.0,7.0,=D183+A183
+0,87.0,9.0,7.0,=D184+A184
+1,87.0,10.0,7.0,=D185+A185
+1,86.0,10.0,7.0,=D186+A186
+1,85.0,10.0,7.0,=D187+A187
+1,84.0,10.0,7.0,=D188+A188
+1,83.0,10.0,7.0,=D189+A189
+0,82.0,10.0,7.0,=D190+A190
+1,82.0,11.0,7.0,=D191+A191
+1,81.0,11.0,7.0,=D192+A192
+1,80.0,11.0,7.0,=D193+A193
+1,79.0,11.0,7.0,=D194+A194
+1,78.0,11.0,7.0,=D195+A195
+0,77.0,11.0,7.0,=D196+A196
+1,77.0,12.0,7.0,=D197+A197
+1,76.0,12.0,7.0,=D198+A198
+1,75.0,12.0,7.0,=D199+A199
+1,74.0,12.0,7.0,=D200+A200
+0,73.0,12.0,7.0,=D201+A201
+1,73.0,13.0,7.0,=D202+A202
+1,72.0,13.0,7.0,=D203+A203
+1,71.0,13.0,7.0,=D204+A204
+1,70.0,13.0,7.0,=D205+A205
+0,69.0,13.0,7.0,=D206+A206
+1,69.0,14.0,7.0,=D207+A207
+1,68.0,14.0,7.0,=D208+A208
+1,67.0,14.0,7.0,=D209+A209
+0,66.0,14.0,7.0,=D210+A210
+1,66.0,15.0,7.0,=D211+A211
+1,65.0,15.0,7.0,=D212+A212
+1,64.0,15.0,7.0,=D213+A213
+0,63.0,15.0,7.0,=D214+A214
+1,63.0,16.0,7.0,=D215+A215
+1,62.0,16.0,7.0,=D216+A216
+1,61.0,16.0,7.0,=D217+A217
+0,60.0,16.0,7.0,=D218+A218
+1,60.0,17.0,7.0,=D219+A219
+1,59.0,17.0,7.0,=D220+A220
+0,58.0,17.0,7.0,=D221+A221
+1,58.0,18.0,7.0,=D222+A222
+1,57.0,18.0,7.0,=D223+A223
+1,56.0,18.0,7.0,=D224+A224
+0,55.0,18.0,7.0,=D225+A225
+1,55.0,19.0,7.0,=D226+A226
+1,54.0,19.0,7.0,=D227+A227
+0,53.0,19.0,7.0,=D228+A228
+1,53.0,20.0,7.0,=D229+A229
+1,52.0,20.0,7.0,=D230+A230
+0,51.0,20.0,7.0,=D231+A231
+1,51.0,21.0,7.0,=D232+A232
+1,50.0,21.0,7.0,=D233+A233
+0,49.0,21.0,7.0,=D234+A234
+1,49.0,22.0,7.0,=D235+A235
+1,48.0,22.0,7.0,=D236+A236
+0,47.0,22.0,7.0,=D237+A237
+1,47.0,23.0,7.0,=D238+A238
+1,46.0,23.0,7.0,=D239+A239
+0,45.0,23.0,7.0,=D240+A240
+1,45.0,24.0,7.0,=D241+A241
+1,44.0,24.0,7.0,=D242+A242
+0,43.0,24.0,7.0,=D243+A243
+1,43.0,25.0,7.0,=D244+A244
+1,42.0,25.0,7.0,=D245+A245
+0,41.0,25.0,7.0,=D246+A246
+1,41.0,26.0,7.0,=D247+A247
+0,40.0,26.0,7.0,=D248+A248
+1,40.0,27.0,7.0,=D249+A249
+1,39.0,27.0,7.0,=D250+A250
+0,38.0,27.0,7.0,=D251+A251
+1,38.0,28.0,7.0,=D252+A252
+0,37.0,28.0,7.0,=D253+A253
+1,37.0,29.0,7.0,=D254+A254
+0,36.0,29.0,7.0,=D255+A255
+1,36.0,30.0,7.0,=D256+A256
+0,35.0,30.0,7.0,=D257+A257
+1,35.0,31.0,7.0,=D258+A258
+0,34.0,31.0,7.0,=D259+A259
+1,34.0,32.0,7.0,=D260+A260
+0,33.0,32.0,7.0,=D261+A261
+1,33.0,33.0,7.0,=D262+A262
