,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,12.0,33.0,82.0,189.0,,,,,=$A13*B13,=$A13*C13,=$A13*D13,=$A13*E13,=$A13*F13,=$A13*G13,=$A13*H13,=$A13*I13,,,=B13/$A13,=C13/$A13,=D13/$A13,=E13/$A13,=F13/$A13,=G13/$A13,=H13/$A13,=I13/$A13
11.0,,,,,11.0,31.0,77.0,182.0,409?,,,,=$A14*B14,=$A14*C14,=$A14*D14,=$A14*E14,=$A14*F14,=$A14*G14,=$A14*H14,=$A14*I14,,,=B14/$A14,=C14/$A14,=D14/$A14,=E14/$A14,=F14/$A14,=G14/$A14,=H14/$A14,=I14/$A14
12.0,,,,,,29.0,73.0,174.0,,,,,=$A15*B15,=$A15*C15,=$A15*D15,=$A15*E15,=$A15*F15,=$A15*G15,=$A15*H15,=$A15*I15,,,=B15/$A15,=C15/$A15,=D15/$A15,=E15/$A15,=F15/$A15,=G15/$A15,=H15/$A15,=I15/$A15
13.0,,,,,,27.0,69.0,168.0,,,,,=$A16*B16,=$A16*C16,=$A16*D16,=$A16*E16,=$A16*F16,=$A16*G16,=$A16*H16,=$A16*I16,,,=B16/$A16,=C16/$A16,=D16/$A16,=E16/$A16,=F16/$A16,=G16/$A16,=H16/$A16,=I16/$A16
14.0,,,,,,25.0,66.0,161.0,,,,,=$A17*B17,=$A17*C17,=$A17*D17,=$A17*E17,=$A17*F17,=$A17*G17,=$A17*H17,=$A17*I17,,,=B17/$A17,=C17/$A17,=D17/$A17,=E17/$A17,=F17/$A17,=G17/$A17,=H17/$A17,=I17/$A17
15.0,,,,,,24.0,63.0,155.0,,,,,=$A18*B18,=$A18*C18,=$A18*D18,=$A18*E18,=$A18*F18,=$A18*G18,=$A18*H18,=$A18*I18,,,=B18/$A18,=C18/$A18,=D18/$A18,=E18/$A18,=F18/$A18,=G18/$A18,=H18/$A18,=I18/$A18
16.0,,,,,,22.0,60.0,150.0,,,,,=$A19*B19,=$A19*C19,=$A19*D19,=$A19*E19,=$A19*F19,=$A19*G19,=$A19*H19,=$A19*I19,,,=B19/$A19,=C19/$A19,=D19/$A19,=E19/$A19,=F19/$A19,=G19/$A19,=H19/$A19,=I19/$A19
17.0,,,,,,21.0,58.0,144.0,,,,,=$A20*B20,=$A20*C20,=$A20*D20,=$A20*E20,=$A20*F20,=$A20*G20,=$A20*H20,=$A20*I20,,,=B20/$A20,=C20/$A20,=D20/$A20,=E20/$A20,=F20/$A20,=G20/$A20,=H20/$A20,=I20/$A20
18.0,,,,,,20.0,55.0,139.0,,,,,=$A21*B21,=$A21*C21,=$A21*D21,=$A21*E21,=$A21*F21,=$A21*G21,=$A21*H21,=$A21*I21,,,=B21/$A21,=C21/$A21,=D21/$A21,=E21/$A21,=F21/$A21,=G21/$A21,=H21/$A21,=I21/$A21
19.0,,,,,,19.0,53.0,135.0,,,,,=$A22*B22,=$A22*C22,=$A22*D22,=$A22*E22,=$A22*F22,=$A22*G22,=$A22*H22,=$A22*I22,,,=B22/$A22,=C22/$A22,=D22/$A22,=E22/$A22,=F22/$A22,=G22/$A22,=H22/$A22,=I22/$A22
20.0,,,,,,,51.0,130.0,,,,,=$A23*B23,=$A23*C23,=$A23*D23,=$A23*E23,=$A23*F23,=$A23*G23,=$A23*H23,=$A23*I23,,,=B23/$A23,=C23/$A23,=D23/$A23,=E23/$A23,=F23/$A23,=G23/$A23,=H23/$A23,=I23/$A23
21.0,,,,,,,49.0,126.0,,,,,=$A24*B24,=$A24*C24,=$A24*D24,=$A24*E24,=$A24*F24,=$A24*G24,=$A24*H24,=$A24*I24,,,=B24/$A24,=C24/$A24,=D24/$A24,=E24/$A24,=F24/$A24,=G24/$A24,=H24/$A24,=I24/$A24
22.0,,,,,,,47.0,122.0,,,,,=$A25*B25,=$A25*C25,=$A25*D25,=$A25*E25,=$A25*F25,=$A25*G25,=$A25*H25,=$A25*I25,,,=B25/$A25,=C25/$A25,=D25/$A25,=E25/$A25,=F25/$A25,=G25/$A25,=H25/$A25,=I25/$A25
23.0,,,,,,,45.0,118.0,,,,,=$A26*B26,=$A26*C26,=$A26*D26,=$A26*E26,=$A26*F26,=$A26*G26,=$A26*H26,=$A26*I26,,,=B26/$A26,=C26/$A26,=D26/$A26,=E26/$A26,=F26/$A26,=G26/$A26,=H26/$A26,=I26/$A26
24.0,,,,,,,43.0,115.0,,,,,=$A27*B27,=$A27*C27,=$A27*D27,=$A27*E27,=$A27*F27,=$A27*G27,=$A27*H27,=$A27*I27,,,=B27/$A27,=C27/$A27,=D27/$A27,=E27/$A27,=F27/$A27,=G27/$A27,=H27/$A27,=I27/$A27
25.0,,,,,,,41.0,111.0,,,,,=$A28*B28,=$A28*C28,=$A28*D28,=$A28*E28,=$A28*F28,=$A28*G28,=$A28*H28,=$A28*I28,,,=B28/$A28,=C28/$A28,=D28/$A28,=E28/$A28,=F28/$A28,=G28/$A28,=H28/$A28,=I28/$A28
26.0,,,,,,,40.0,108.0,,,,,=$A29*B29,=$A29*C29,=$A29*D29,=$A29*E29,=$A29*F29,=$A29*G29,=$A29*H29,=$A29*I29,,,=B29/$A29,=C29/$A29,=D29/$A29,=E29/$A29,=F29/$A29,=G29/$A29,=H29/$A29,=I29/$A29
27.0,,,,,,,38.0,105.0,,,,,=$A30*B30,=$A30*C30,=$A30*D30,=$A30*E30,=$A30*F30,=$A30*G30,=$A30*H30,=$A30*I30,,,=B30/$A30,=C30/$A30,=D30/$A30,=E30/$A30,=F30/$A30,=G30/$A30,=H30/$A30,=I30/$A30
