,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,,,,,,,,77.0,,,,,0,0,0,0,0,0,0,3003,,,0,0,0,0,0,0,0,1.974358974
40.0,,,,,,,,76.0,,,,,0,0,0,0,0,0,0,3040,,,0,0,0,0,0,0,0,1.9
41.0,,,,,,,,74.0,,,,,0,0,0,0,0,0,0,3034,,,0,0,0,0,0,0,0,1.804878049
42.0,,,,,,,,72.0,,,,,0,0,0,0,0,0,0,3024,,,0,0,0,0,0,0,0,1.714285714
43.0,,,,,,,,71.0,,,,,0,0,0,0,0,0,0,3053,,,0,0,0,0,0,0,0,1.651162791
44.0,,,,,,,,69.0,,,,,0,0,0,0,0,0,0,3036,,,0,0,0,0,0,0,0,1.568181818
45.0,,,,,,,,68.0,,,,,0,0,0,0,0,0,0,3060,,,0,0,0,0,0,0,0,1.511111111
46.0,,,,,,,,66.0,,,,,0,0,0,0,0,0,0,3036,,,0,0,0,0,0,0,0,1.434782609
47.0,,,,,,,,65.0,,,,,0,0,0,0,0,0,0,3055,,,0,0,0,0,0,0,0,1.382978723
48.0,,,,,,,,64.0,,,,,0,0,0,0,0,0,0,3072,,,0,0,0,0,0,0,0,1.333333333
49.0,,,,,,,,62.0,,,,,0,0,0,0,0,0,0,3038,,,0,0,0,0,0,0,0,1.265306122
50.0,,,,,,,,61.0,,,,,0,0,0,0,0,0,0,3050,,,0,0,0,0,0,0,0,1.22
51.0,,,,,,,,60.0,,,,,0,0,0,0,0,0,0,3060,,,0,0,0,0,0,0,0,1.176470588
52.0,,,,,,,,59.0,,,,,0,0,0,0,0,0,0,3068,,,0,0,0,0,0,0,0,1.134615385
53.0,,,,,,,,58.0,,,,,0,0,0,0,0,0,0,3074,,,0,0,0,0,0,0,0,1.094339623
54.0,,,,,,,,57.0,,,,,0,0,0,0,0,0,0,3078,,,0,0,0,0,0,0,0,1.055555556
55.0,,,,,,,,56.0,,,,,0,0,0,0,0,0,0,3080,,,0,0,0,0,0,0,0,1.018181818
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.7320508076,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,n1:n2,,l2rat1,,,l2rat2=,,,,,,,,,,,,,,,
,,,,(in 7),,45.0,23.0,,,1.956521739,,1.432273319,,,2.672658399,,,,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(in 6),,22.0,16.0,,,,,,,,,,,,145,,,,,,,,,,,
,,,,,,29.0,12.0,,,,,,,,,,,,192,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,
