3.0,15,23,31,39,47,55,11,,3.0,12,20,28,36,44,11,,3.0,18,21,24,27,30,33,36,6,,3.0,12,15,18,21,24,6
4.0,20,26,32,38,44,50,10,,4.0,16,22,28,34,40,10,,4.0,24,25,26,27,28,29,30,5,,4.0,16,17,18,19,20,5
5.0,25,29,33,37,41,45,9,,5.0,20,24,28,32,36,9,,5.0,30,29,28,27,26,25,24,4,,5.0,20,19,18,17,16,4
6.0,30,32,34,36,38,40,8,,6.0,24,26,28,30,32,8,,6.0,36,33,30,27,24,21,18,3,,6.0,24,21,18,15,12,3
7.0,35,35,35,35,35,35,7,,7.0,28,28,28,28,28,7,,7.0,42,37,32,27,22,17,12,2,,7.0,28,23,18,13,8,2
8.0,40,38,36,34,32,30,6,,8.0,32,30,28,26,24,6,,8.0,48,41,34,27,20,13,6,1,,8.0,32,25,18,11,4,1
9.0,45,41,37,33,29,25,5,,9.0,36,32,28,24,20,5,,9.0,54,45,36,27,18,9,0,0,,9.0,36,27,18,9,0,0
10.0,50,44,38,32,26,20,4,,10.0,40,34,28,22,16,4,,,6,5,4,3,2,1,0,,,,4,3,2,1,0,
11.0,55,47,39,31,23,15,3,,11.0,44,36,28,20,12,3,,,,,,,,,,,,,,,,,,
12.0,60,50,40,30,20,10,2,,12.0,48,38,28,18,8,2,,,,,,,,,,,,,,,,,,
13.0,65,53,41,29,17,5,1,,13.0,52,40,28,16,4,1,,,,,,,,,,,,,,,,,,
